City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,richards bay,-28.783,32.0377,22.8,57.0,100.0,7.17,ZA,1690364458.0
203,karungdong,5.8844,121.263,28.04,82.0,18.0,5.05,PH,1690364557.0
204,lazaro cardenas,17.9583,-102.2,25.69,77.0,87.0,2.2,MX,1690364557.0
205,guane,22.2025,-84.0875,24.72,92.0,41.0,2.55,CU,1690364558.0
206,punta arenas,-53.15,-70.9167,-0.97,80.0,14.0,4.25,CL,1690364483.0
207,scarborough,54.2797,-0.4044,19.32,76.0,57.0,1.79,GB,1690364516.0
208,arraial do cabo,-22.9661,-42.0278,21.92,83.0,75.0,6.69,BR,1690364559.0
209,san jose del guaviare,2.5729,-72.6459,19.97,95.0,38.0,0.81,CO,1690364560.0
210,pervomayskoye,43.919,46.7102,32.52,28.0,0.0,6.73,RU,1690364560.0
211,walvis bay,-22.9575,14.5053,14.53,72.0,0.0,3.09,NA,1690364561.0
212,cabo san lucas,22.8909,-109.9124,29.23,77.0,100.0,1.34,MX,1690364402.0
213,santa ana,33.7456,-117.8678,26.34,91.0,0.0,2.57,US,1690364483.0
214,orsa,54.5153,30.4053,14.95,95.0,100.0,6.82,BY,1690364562.0
215,margaret river,-33.95,115.0667,11.59,81.0,100.0,11.05,AU,1690364518.0
216,asau,46.4333,26.4,25.51,41.0,46.0,1.59,RO,1690364564.0
217,chibougamau,49.9168,-74.3659,12.79,88.0,0.0,2.49,CA,1690364564.0
218,qamdo,31.1667,97.2333,14.53,50.0,85.0,3.19,CN,1690364565.0
219,novyy urgal,51.0736,132.5642,21.47,87.0,54.0,1.03,RU,1690364565.0
220,vorgashor,67.5833,63.95,16.7,83.0,100.0,0.69,RU,1690364566.0
221,chuhuyiv,49.8359,36.688,30.98,35.0,90.0,7.82,UA,1690364566.0
222,tura,25.5198,90.2201,29.66,72.0,99.0,2.73,IN,1690364567.0
223,lajere,11.9797,11.4443,34.36,37.0,87.0,5.7,NG,1690364567.0
224,san andres,12.5847,-81.7006,28.01,83.0,20.0,5.14,CO,1690364568.0
225,mugia,43.1041,-9.2179,21.62,82.0,15.0,4.44,ES,1690364568.0
226,inhambane,-23.865,35.3833,23.99,50.0,40.0,3.6,MZ,1690364569.0
227,beitbridge,-22.2167,30.0,23.75,39.0,0.0,5.0,ZW,1690364569.0
228,picota,-6.9197,-76.3304,21.44,88.0,18.0,0.21,PE,1690364570.0
229,khamis mushait,18.3064,42.7292,32.58,9.0,0.0,7.72,SA,1690364570.0
230,huron,41.1501,-82.5499,20.96,90.0,11.0,3.7,US,1690364571.0
231,sao joao da barra,-21.6403,-41.0511,20.05,88.0,97.0,7.28,BR,1690364571.0
232,kingston,17.997,-76.7936,27.53,84.0,20.0,4.63,JM,1690363913.0
233,waiuku,-37.25,174.75,10.7,70.0,7.0,2.47,NZ,1690364572.0
234,puerto leguizamo,-0.1934,-74.7819,20.93,98.0,80.0,0.64,CO,1690364573.0
235,nar'yan-mar,67.6713,53.087,23.35,50.0,89.0,2.38,RU,1690364573.0
236,mount isa,-20.7333,139.5,21.87,56.0,12.0,2.57,AU,1690364574.0
238,chingirlau,51.095,54.0814,30.61,30.0,26.0,4.2,KZ,1690364575.0
240,sanctuary point,-35.1114,150.629,15.42,80.0,44.0,2.67,AU,1690364576.0
241,ghanzi,-21.5667,21.7833,24.31,27.0,0.0,8.26,BW,1690364576.0
242,geraldton,-28.7667,114.6,15.23,63.0,75.0,6.69,AU,1690364577.0
243,kiunga,-6.1219,141.2906,23.31,95.0,100.0,1.15,PG,1690364577.0
244,galesong,-5.3166,119.3661,30.01,76.0,23.0,5.69,ID,1690364578.0
245,camacupa,-12.0167,17.4833,26.52,22.0,3.0,2.04,AO,1690364578.0
246,tual,-5.6667,132.75,25.78,82.0,76.0,10.1,ID,1690364579.0
247,fort mcmurray,56.7268,-111.381,10.77,93.0,75.0,3.09,CA,1690364579.0
248,port allen,30.4521,-91.2101,25.01,83.0,0.0,0.0,US,1690364580.0
249,puerto san jose,13.9256,-90.8244,24.91,73.0,40.0,2.54,GT,1690364580.0
250,georgetown,5.4112,100.3354,31.12,74.0,20.0,2.68,MY,1690364414.0
251,pangody,65.85,74.4859,26.37,53.0,71.0,5.73,RU,1690364586.0
252,juan de herrera,18.874,-71.2383,22.27,78.0,35.0,1.03,DO,1690364587.0
253,afaahiti,-17.75,-149.2833,23.93,86.0,37.0,2.64,PF,1690364587.0
254,jeddah,21.5169,39.2192,44.92,6.0,20.0,4.12,SA,1690364456.0
255,carnarvon,-24.8667,113.6333,17.73,59.0,1.0,6.14,AU,1690364589.0
256,lucapa,-8.4192,20.7447,31.69,20.0,16.0,2.7,AO,1690364589.0
257,berdigestyakh,62.0989,126.6992,21.66,39.0,17.0,3.69,RU,1690364590.0
258,okhotsk,59.3833,143.3,15.3,89.0,31.0,2.22,RU,1690364590.0
259,puerto armuelles,8.2833,-82.8667,27.83,70.0,100.0,1.34,PA,1690364591.0
260,urzhar,47.093,81.6294,39.3,9.0,39.0,5.39,KZ,1690364592.0
261,houghton,47.1219,-88.569,19.71,96.0,75.0,2.57,US,1690364592.0
262,kavaratti,10.5669,72.642,28.11,78.0,100.0,7.11,IN,1690364593.0
263,swiebodzin,52.2475,15.5336,16.83,43.0,100.0,5.15,PL,1690364570.0
264,yangchun,22.1667,111.7833,33.09,65.0,75.0,1.0,CN,1690364594.0
265,noumea,-22.2763,166.4572,21.67,97.0,62.0,6.91,NC,1690364175.0
266,veraval,20.9,70.3667,28.63,83.0,69.0,8.06,IN,1690364595.0
267,hobyo,5.3505,48.5268,27.4,67.0,34.0,12.44,SO,1690364595.0
268,skiathos,39.1623,23.4909,33.09,55.0,0.0,2.57,GR,1690364596.0
269,broome,42.2506,-75.833,18.15,96.0,7.0,1.62,US,1690364596.0
270,oneida,43.2001,-75.4663,18.88,96.0,0.0,1.54,US,1690364597.0
271,buka,40.8108,69.1986,45.2,7.0,3.0,3.57,UZ,1690364597.0
272,dwarka,22.2394,68.9678,29.23,80.0,90.0,8.6,IN,1690364598.0
274,vila velha,-20.3297,-40.2925,20.97,98.0,100.0,1.54,BR,1690364599.0
275,rio bueno,-40.3167,-72.9667,5.06,98.0,100.0,0.77,CL,1690364600.0
276,lagunas,-5.2269,-75.6753,22.04,88.0,76.0,0.8,PE,1690364600.0
277,luderitz,-26.6481,15.1594,15.44,56.0,55.0,1.5,NA,1690364601.0
278,sibiti,-3.6819,13.3499,28.15,49.0,37.0,2.14,CG,1690364601.0
279,la passe,45.5549,-0.8967,20.13,72.0,89.0,5.51,FR,1690364602.0
280,nguigmi,14.2495,13.1092,34.55,39.0,71.0,6.6,NE,1690364602.0
